19	6	151	1.0	0
2233	2	57	1.0	0
182	23	112	1.0	1
22	17	21	1.0	0
3	8	742	1.0	1
507	2	55	1.0	0
154	25	56	1.0	0
1110	2	31	1.0	0
141	29	7	1.0	0
6	5	22	1.0	0
1574	0	1372	1.0	0
456	21	770	1.0	1
30	6	696	1.0	0
25	8	89	1.0	1
42	0	400	1.0	0
246	6	155	1.0	0
182	3	43	1.0	0
833	2	2958	1.0	0
362	14	211	1.0	0
166	6	696	1.0	0
393	0	0	1.0	0
82	6	3827	1.0	0
141	20	11	1.0	1
2001	6	180	1.0	0
99	2	804	1.0	0
6229	3	1	1.0	0
141	4	11	1.0	1
4639	25	4269	1.0	0
21	3	63	1.0	0
4639	25	5628	1.0	0
11	9	2236	1.0	1
27	7	3386	1.0	1
27	7	3193	1.0	1
354	8	1191	1.0	1
969	0	1516	1.0	0
153	2	180	1.0	0
641	8	290	1.0	1
345	21	55	1.0	1
19	6	17	1.0	0
0	26	5	1.0	1
17	2	705	1.0	0
22	4	6	1.0	1
312	20	11	1.0	1
6	3	22	1.0	0
1021	0	6366	1.0	0
202	3	1	1.0	0
72	3	130	1.0	0
2088	8	389	1.0	1
1355	6	121	1.0	0
11	5	141	1.0	0
2043	0	93	1.0	0
7	16	0	1.0	0
1720	15	3	1.0	0
93	21	511	1.0	1
127	24	64	1.0	0
127	31	64	1.0	0
0	16	7	1.0	0
913	28	6658	1.0	0
316	0	1	1.0	0
122	7	46	1.0	1
6620	6	180	1.0	0
154	25	3	1.0	0
270	2	16	1.0	0
55	26	0	1.0	1
484	3	1	1.0	0
1	6	7108	1.0	0
19	32	17	1.0	1
44	6	3	1.0	0
362	6	211	1.0	0
58	1	53	1.0	0
51	1	247	1.0	0
92	10	93	1.0	0
11	7	1151	1.0	1
46	6	2384	1.0	0
354	8	4015	1.0	1
19	18	17	1.0	1
21	17	22	1.0	0
53	1	58	1.0	0
3201	2	751	1.0	0
28	11	2	1.0	0
83	0	15	1.0	0
27	0	10	1.0	0
19	21	184	1.0	1
68	0	85	1.0	0
42	2	291	1.0	0
2172	3	43	1.0	0
511	21	93	1.0	1
29	6	81	1.0	0
627	0	104	1.0	0
247	1	51	1.0	0
456	10	31	1.0	0
7	15	0	1.0	0
2233	2	182	1.0	0
1683	33	5	1.0	1
64	28	357	1.0	0
142	33	1	1.0	1
969	4	5	1.0	1
5	5	969	1.0	0
48	0	9	2.0	0
2352	6	7098	2.0	0
0	2	269	2.0	0
2490	0	2739	2.0	0
212	1	4	2.0	0
43	5	182	2.0	0
1396	11	104	2.0	0
19	6	17	2.0	0
234	4	0	2.0	1
382	9	11	2.0	1
4065	7	1113	2.0	1
389	2	99	2.0	0
1998	18	99	2.0	1
80	16	0	2.0	0
2674	0	8	2.0	0
20	6	86	2.0	0
324	7	2	2.0	1
295	3	220	2.0	0
14	22	1	2.0	0
9	26	2	2.0	1
57	4	43	2.0	1
310	3	1041	2.0	0
0	15	80	2.0	0
32	18	340	2.0	1
277	0	226	2.0	0
757	7	264	2.0	1
0	5	234	2.0	0
607	0	86	2.0	0
100	3	18	2.0	0
331	13	2	2.0	0
1262	29	252	2.0	0
0	26	57	2.0	1
638	0	197	2.0	0
22	1	6	2.0	0
141	8	7	2.0	1
21	1	22	2.0	0
0	7	11	2.0	1
1041	0	310	2.0	0
429	18	144	2.0	1
54	21	187	2.0	1
